__id,fecha_de_apertura,dia_de_apertura,fecha_ocurrencia_hechos,dia_ocurrencia,hora_militar_ocurrencia_hechos,conforman_unidad_domestica,fisica,verbal,economica,psicologica,sexual,genero_m_f_victima,edad_victima,victima_conflicto_armado,etnia_victima,estado_civil_victima,escolaridad_victima,corregimiento_victima,comuna_de_la_victima,barrio_victima,ocupacion_victima,no_hijos_victima,vivienda_victima,nucleo_familiar_victima,numero_hermanos_victima,genero_agresor_m_f,parentesco_frente_a_la_victima,no_de_hijos_agresor,edad_agresor,estado_civil_agresor,escolaridad_agresor,ocupacion_agresor,corregimiento_agresor,comuna_agresor,barrio,tipo_vivienda
row-qasa-s34v~3cfx,2022-06-01T00:00:00.000,jueves,29/12/2021,miércoles,9:35 a.m.,si,si,si,no,si,no,femenino,26,no,no,soltero(a),bachiller completo,juanchito,comuna10,juanchito,empleado,1,alquilada,2,5,masculino,ex-conyuge,1,23,soltero(a),bachiller completo,empleado,juanchito,comuna10,no,familiar
row-jur4-f64e~isuj,2022-07-01T00:00:00.000,viernes,2022-07-01T00:00:00.000,viernes,10:14 a.m.,si,si,si,no,si,no,femenino,29,no,no,soltero(a),bachiller completo,ninguno,comuna5,san pedro,empleado,1,alquilada,3,5,masculino,ex-conyuge,1,30,soltero(a),bachiller completo,independiente,ninguno,comuna5,san pedro,alquilada
row-ch4v~jcum_8hm6,2022-11-01T00:00:00.000,martes,2022-06-01T00:00:00.000,miércoles,10:00 a.m.,si,si,si,no,si,no,femenino,48,no,no,soltero(a),primaria incompleta,ninguno,comuna1,20 de julio,independiente,4,propia,3,0,masculino,hijo(a),2,23,casado(a),bachiller incompleto,independiente,ninguno,comuna1,no,alquilada
row-7hbk.cmiu_35pj,13/01/2022,jueves,13/01/2022,jueves,10:00 a.m.,si,no,si,no,si,no,femenino,31,no,no,soltero(a),pregrado,ninguno,comuna3,la concordia,empleado,1,alquilada,2,0,masculino,ex-conyuge,1,37,soltero(a),bachiller completo,empleado,ninguno,comuna1,no,familiar
row-uyx7~vzf5-wn8d,19/01/2022,miércoles,2022-12-01T00:00:00.000,miércoles,12:21 p.m.,si,si,si,no,si,no,femenino,32,no,no,soltero(a),bachiller completo,ninguno,comuna1,urb. simon bolivar,independiente,1,propia,3,1,masculino,ex-conyuge,1,30,soltero(a),bachiller completo,independiente,ninguno,comuna4,san cayetano,familiar
row-9v6a-tu4g.m54q,19/01/2022,miércoles,18/01/2022,martes,10:50 a.m.,si,si,si,no,si,no,femenino,72,no,no,soltero(a),primaria incompleta,ninguno,comuna3,la emilia,independiente,8,alquilada,2,1,femenino,hijo(a),0,19,soltero(a),primaria incompleta,desempleado,ninguno,comuna3,la emilia,alquilada
row-watf.hyh2~r7fw,21/01/2022,viernes,2022-09-01T00:00:00.000,domingo,13:00 p.m.,si,no,si,no,si,no,femenino,28,no,no,soltero(a),bachiller completo,ninguno,comuna5,san pedro,independiente,3,alquilada,2,0,masculino,ex-conyuge,0,25,soltero(a),primaria incompleta,desempleado,ninguno,comuna3,la emilia,alquilada
row-sdei_vq6c.9mau,21/01/2022,viernes,2022-04-01T00:00:00.000,martes,11:30 a.m.,si,si,si,no,si,no,masculino,17,no,no,soltero(a),primaria completa,ninguno,comuna3,el tríangulo,independiente,0,familiar,7,0,masculino,tío(a),1,29,unión libre,bachiller incompleto,independiente,ninguno,comuna3,el triángulo,familiar
row-bb9v.qm9e_3gu7,24/01/2022,lunes,19/01/2022,miércoles,9:49 a.m.,si,no,si,no,si,no,femenino,36,no,no,soltero(a),bachiller completo,ninguno,comuna7,chapinero,independiente,2,propia,3,3,masculino,ex-conyuge,1,38,soltero(a),bachiller completo,empleado,ninguno,comuna1,zamorano,alquilada
row-mmeq-2zck_snn9,25/01/2022,martes,25/01/2022,martes,9:00 a.m.,si,no,si,no,si,no,femenino,60,no,no,unión libre,primaria incompleta,boyaca,comuna12,cgto boyaca,independiente,1,propia,2,0,masculino,conyuge,3,72,unión libre,primaria incompleta,pensionado,boyaca,comuna12,no,familiar
row-b4vm_tcjs_xviu,26/01/2022,miércoles,26/01/2022,miércoles,12:50 p.m.,si,si,si,no,si,no,femenino,45,no,no,soltero(a),primaria incompleta,ninguno,comuna5,san pedro,empleado,4,propia,7,0,masculino,ex-conyuge,0,34,soltero(a),bachiller completo,empleado,ninguno,comuna6,la colombina,familiar
row-qit5.w8dk_u5wv,27/01/2022,jueves,27/01/2022,jueves,14:05 p.m,si,si,si,no,si,no,femenino,26,no,no,soltero(a),técnico,ninguno,comuna6,el paraiso,empleado,2,alquilada,2,0,masculino,ex-conyuge,1,26,soltero(a),técnico,empleado,ninguno,comuna6,pradera,familiar
row-kbr8-xdbq.pyrq,26/01/2022,miércoles,25/01/2022,martes,10:26 a.m.,si,si,si,no,si,no,femenino,25,no,no,unión libre,técnico,ninguno,comuna2,alameda palo verde,empleado,0,alquilada,2,1,femenino,conyuge,0,27,unión libre,bachiller completo,empleado,ninguno,comuna2,alameda palo verde,alquilada
row-hdr5_f7yz-2tya,28/01/2022,viernes,23/12/2022,viernes,11:55 a.m.,si,si,si,no,si,no,femenino,55,no,no,casado(a),bachiller incompleto,ninguno,comuna5,primero de mayo,independiente,2,familiar,4,0,masculino,hijo(a),0,23,soltero(a),primaria completa,desempleado,ninguno,comuna5,primero de mayo,familiar
row-bjuu.pchd.33u7,29/01/2022,sábado,29/01/2022,sábado,9:23 a.m.,si,si,si,no,si,no,femenino,67,no,no,viudo(a),bachiller completo,ninguno,comuna1,urb. los mangos,independiente,2,propia,4,0,masculino,tío(a),0,23,soltero(a),primaria completa,desempleado,ninguno,comuna1,urb. los mangos,familiar
row-6zcn~3fxs~s2te,31/01/2022,lunes,31/12/2022,sábado,9:50 a.m.,si,si,si,no,si,no,femenino,20,no,no,soltero(a),bachiller completo,ninguno,comuna7,las delicias,independiente,1,familiar,12,0,masculino,ex-conyuge,1,22,soltero(a),bachiller completo,independiente,ninguno,comuna5,siete de agosto,alquilada
row-aqi7-9vtd_4nid,2022-02-01T00:00:00.000,domingo,no aplica,no aplica,no aplica,no,si,si,no,si,no,femenino,34,no,ninguno,casado(a),técnico,ninguno,no aplica,cali,farmaceutica,1,propia,4,no aplica,masculino,conyugue,2,9,casado(a),bachiller completo,vendedor,ninguno,comuna1,no aplica,propia
row-9uk2_fzyq_6i2s,2022-03-01T00:00:00.000,lunes,no aplica,no aplica,no aplica,no,si,si,no,si,no,femenino,27,no,ninguno,soltero(a),no aplica,potrerillo,comuna16,cgto potrerillo,oficios varios,2,alquilada,3,3,masculino,ex-conyugue,2,6,no aplica,no aplica,no aplica,tenjo,comuna16,no aplica,no aplica
row-bmit.3nke.ah52,2022-03-01T00:00:00.000,lunes,no aplica,no aplica,07:20 a. m.,no,no,si,no,si,no,femenino,33,no,ninguno,soltero(a),no aplica,ninguno,comuna3,loreto,oficios varios,2,alquilada,no aplica,no aplica,masculino,no aplica,2,11,soltero(a),no aplica,no aplica,ninguno,comuna1,carbonera,alquilada
row-s7b8_8n9s.gw5b,2022-03-01T00:00:00.000,lunes,no aplica,no aplica,no aplica,si,si,si,no,si,no,masculino,71,si,ninguno,casado(a),bachiller incompleto,ninguno,comuna6,fatima,pensionado,2,familiar,4,3,femenino,hijo(a),no aplica,48,soltero(a),primaria completa,no aplica,ninguno,comuna6,fatima,familiar
row-gbu3.bp47~65bp,2022-03-01T00:00:00.000,lunes,2022-01-01T00:00:00.000,sabado,3:a.m.,si,si,si,no,si,no,femenino,35,no,ninguno,unión libre,postgrado,ninguno,comuna7,italia,directora de agencia,1,propia,3,1,masculino,conyugue,1,13,unión libre,postgrado,asesor comercial,ninguno,comuna7,italia,familiar
row-d6b5-4jd9_snzu,2022-03-01T00:00:00.000,lunes,2022-01-01T00:00:00.000,sabado,12:30.p.m.,no,si,si,no,si,no,femenino,23,no,ninguno,soltero(a),bachiller completo,ninguno,comuna3,rivera escobar,islera,no aplica,alquilada,no aplica,no aplica,masculino,ex-conyugue,no aplica,no aplica,soltero(a),no aplica,soldador,ninguno,comuna1,zamorano,no aplica
row-yr37_wam9.kfvv,2022-05-01T00:00:00.000,miercoles,2022-04-01T00:00:00.000,martes,07:30 p. m.,si,si,si,no,si,no,femenino,36,no,ninguno,unión libre,bachiller incompleto,ninguno,comuna3,emilia,independiente,2,alquilada,3,2,masculino,conyugue,2,14,unión libre,primaria completa,obra blanca,ninguno,comuna3,emilia,alquilada
row-up94.ht98.tmq2,2022-06-01T00:00:00.000,viernes,no aplica,no aplica,no aplica,si,si,si,no,si,no,femenino,17,no,ninguno,soltero(a),no aplica,ninguno,comuna 7,guayacanes del ingenio,trabajo en casa,3,no aplica,no aplica,no aplica,femenino,hijo(a),5,44,soltero(a),no aplica,no registro,ninguno,no aplica,guayacanes del sur,no aplica
row-m4jh_9jxf~zyye,2022-06-01T00:00:00.000,viernes,31/12/2021,viernes,no aplica,no,no,si,no,si,no,femenino,48,no,ninguno,unión libre,no aplica,ninguno,comuna1,orlidia,ama de casa,2,alquilada,1,no aplica,masculino,ex-conyugue,no aplica,no aplica,unión libre,no aplica,construccion,ninguno,comuna1,orlidia,alquilada
row-qbp9.5yue-47zu,2022-06-01T00:00:00.000,viernes,no aplica,no aplica,no aplica,no,si,si,si,si,no,masculino,62,no,ninguno,separado(a),postgrado,ninguno,comuna4,obrero,pensionado,3,alquilada,no aplica,5,femenino,no aplica,1,5,soltero(a),bachiller completo,seguridad en eventos,ninguno,comuna3,emilia,familiar
row-7ss6_p2ra.5sch,2022-07-01T00:00:00.000,sabado,2022-06-01T00:00:00.000,viernes,no aplica,no,no,si,no,si,no,femenino,32,no,ninguno,no aplica,bachiller completo,ninguno,comuna5,el bosque,medicina estetica,1,alquilada,2,no aplica,masculino,ex-conyugue,1,36,soltero(a),no aplica,pintor,ninguno,comuna5,urb el bosque,alquilada
row-f7cg.vhq3.c8vi,2022-07-01T00:00:00.000,sabado,no aplica,no aplica,no aplica,si,si,si,no,si,no,femenino,28,si,ninguno,casado(a),postgrado,ninguno,comuna6,colombina,cor. de productividad,2,alquilada,4,3,masculino,conyugue,2,3,casado(a),tecnólogo,lider de proyecto,ninguno,comuna6,colombina,alquilada
